,block_num,tx_time,tx_from,tx_to,tx_amount,tx_fee,account_value
0xd5e0...a99223,37501063,"Sep 03, 2020  20:00:30  /  UTC+9",0xd5e0...a99223,0x2968...c4e5a8,5000,0.000775,150981084.0
0x4280...a005ab,37501058,"Sep 03, 2020  20:00:25  /  UTC+9",0x4280...a005ab,0x2968...c4e5a8,10000,0.000775,150981084.0
0xed09...931a93,37500980,"Sep 03, 2020  19:59:07  /  UTC+9",0xed09...931a93,0x2968...c4e5a8,10000,0.000775,150981084.0
0x8342...d9f5b3,37500910,"Sep 03, 2020  19:57:57  /  UTC+9",0x8342...d9f5b3,0x2968...c4e5a8,5000,0.000775,150981084.0
0x2da0...a0cbf3,37500905,"Sep 03, 2020  19:57:52  /  UTC+9",0x2da0...a0cbf3,0x2968...c4e5a8,50,0.000775,150981084.0
0x79f7...432ce8,37500901,"Sep 03, 2020  19:57:48  /  UTC+9",0x79f7...432ce8,0x2968...c4e5a8,10000,0.000775,150981084.0
0x9dc9...9c35d2,37500829,"Sep 03, 2020  19:56:36  /  UTC+9",0x9dc9...9c35d2,0x2968...c4e5a8,15000,0.000775,150981084.0
0xad74...ae3766,37501153,"Sep 03, 2020  20:02:00  /  UTC+9",0xad74...ae3766,0x2968...c4e5a8,-3010,0.000775,150981660.0
0x8de6...a5783c,37501131,"Sep 03, 2020  20:01:38  /  UTC+9",0x8de6...a5783c,0x2968...c4e5a8,3586,0.000775,150981660.0
0x1e6f...11e1c7,37501543,"Sep 03, 2020  20:08:30  /  UTC+9",0x1e6f...11e1c7,0x2968...c4e5a8,-3000,0.000775,150988614.0
0x61e8...bef82a,37501464,"Sep 03, 2020  20:07:11  /  UTC+9",0x61e8...bef82a,0x2968...c4e5a8,9953,0.000775,150988614.0
0x09a1...c7698a,37501744,"Sep 03, 2020  20:11:51  /  UTC+9",0x09a1...c7698a,0x2968...c4e5a8,-3000,0.000775,150985644.0
0xbaa5...e0b5e8,37501659,"Sep 03, 2020  20:10:26  /  UTC+9",0xbaa5...e0b5e8,0x2968...c4e5a8,30,0.000775,150985644.0
0xd7e6...73b835,37502067,"Sep 03, 2020  20:17:14  /  UTC+9",0xd7e6...73b835,0x2968...c4e5a8,-13519,0.000775,150928315.0
0x8c38...5792c5,37502054,"Sep 03, 2020  20:17:01  /  UTC+9",0x8c38...5792c5,0x2968...c4e5a8,-15000,0.000775,150928315.0
0x06b0...ab15e5,37502050,"Sep 03, 2020  20:16:57  /  UTC+9",0x06b0...ab15e5,0x2968...c4e5a8,150,0.000775,150928315.0
0x3888...d7ce06,37502041,"Sep 03, 2020  20:16:48  /  UTC+9",0x3888...d7ce06,0x2968...c4e5a8,-4500,0.000775,150928315.0
